County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Lincoln,Midwest,Kansas,1% below,31%,16%,13%,25%,32%,39.0557,-98.2068
Wichita,Midwest,Kansas,1% below,31%,17%,9%,27%,32%,38.4844,-101.3475
Morton,Midwest,Kansas,1% below,31%,17%,11%,33%,32%,37.1923,-101.7989
Poweshiek,Midwest,Iowa,1% below,31%,17%,13%,23%,32%,41.6853,-92.5332
Pocahontas,Midwest,Iowa,1% below,31%,17%,12%,31%,32%,42.7329,-94.6786
Wayne,Midwest,Iowa,1% below,31%,17%,12%,26%,32%,40.7372,-93.327
Ida,Midwest,Iowa,1% below,31%,17%,13%,29%,32%,42.3883,-95.4964
Bond,Midwest,Illinois,1% below,31%,17%,13%,26%,32%,38.8833,-89.4467
Sedgwick,Midwest,Kansas,1% below,31%,18%,15%,25%,32%,37.6926,-97.4802
Cass,Midwest,Missouri,1% below,31%,18%,13%,28%,32%,38.6442,-94.364
Franklin,Midwest,Illinois,1% below,31%,18%,17%,28%,32%,37.9944,-88.9238
Webster,Midwest,Iowa,1% below,31%,20%,14%,27%,32%,42.4344,-94.1647
Clay,Midwest,Iowa,1% below,31%,15%,12%,25%,32%,43.0784,-95.1509
Johnson,Midwest,Illinois,1% below,31%,17%,15%,26%,32%,37.4479,-88.8773
Macon,Midwest,Illinois,1% below,31%,17%,18%,24%,32%,39.8618,-88.9818
Chickasaw,Midwest,Iowa,1% below,31%,18%,12%,24%,32%,43.0488,-92.3177
Morrill,Midwest,Nebraska,1% below,31%,19%,12%,26%,32%,41.7195,-103.0045
Brown,Midwest,Kansas,1% below,31%,19%,16%,32%,32%,39.8201,-95.5642
Davis,Midwest,Iowa,1% below,31%,20%,14%,31%,32%,40.7369,-92.4085
Aurora,Midwest,South Dakota,1% below,31%,14%,9%,31%,32%,43.7246,-98.5603
Mercer,Midwest,Illinois,1% below,31%,14%,12%,30%,32%,41.1981,-90.7508
Henry,Midwest,Illinois,1% below,31%,15%,11%,29%,32%,41.3661,-90.1453
Dixon,Midwest,Nebraska,1% below,31%,15%,11%,32%,32%,42.5131,-96.8689
Schuyler,Midwest,Illinois,1% below,31%,16%,12%,26%,32%,40.1317,-90.6279
Buena Vista,Midwest,Iowa,1% below,31%,16%,10%,25%,32%,42.7359,-95.1507
Red Lake,Midwest,Minnesota,1% below,31%,16%,11%,24%,32%,47.8625,-96.0957
Towner,Midwest,North Dakota,1% below,31%,16%,7%,29%,32%,48.6677,-99.2317
Oliver,Midwest,North Dakota,1% below,31%,16%,5%,28%,32%,47.1388,-101.3546
Richland,Midwest,Illinois,1% below,31%,16%,14%,29%,32%,38.7098,-88.0966
Moultrie,Midwest,Illinois,1% below,31%,17%,12%,27%,32%,39.6126,-88.6408
Cimarron,Midwest,Oklahoma,1% below,31%,18%,14%,35%,32%,36.7562,-102.5169
Mahaska,Midwest,Iowa,1% below,31%,19%,14%,26%,32%,41.3323,-92.6409
Jackson,Midwest,Oklahoma,1% below,31%,19%,15%,34%,32%,34.5984,-99.3749
Decatur,Midwest,Iowa,1% below,31%,19%,14%,25%,32%,40.7401,-93.786
Texas,Midwest,Missouri,1% below,31%,24%,17%,34%,32%,37.3295,-91.9496
Thomas,Midwest,Nebraska,1% below,31%,15%,12%,31%,32%,41.929,-100.5553
Rock Island,Midwest,Illinois,1% below,31%,16%,13%,25%,32%,41.5548,-90.3036
Douglas,Midwest,Illinois,1% below,31%,16%,11%,27%,32%,39.7637,-88.2205
Sioux,Midwest,Nebraska,1% below,31%,16%,12%,31%,32%,42.5049,-103.7667
Pope,Midwest,Illinois,1% below,31%,16%,15%,27%,32%,37.3341,-88.5987
Shelby,Midwest,Iowa,1% below,31%,16%,11%,33%,32%,41.6806,-95.3254
Goodhue,Midwest,Minnesota,1% below,31%,17%,10%,22%,32%,44.455,-92.7349
Norman,Midwest,Minnesota,1% below,31%,17%,10%,31%,32%,47.3253,-96.4513
Dodge,Midwest,Nebraska,1% below,31%,18%,12%,25%,32%,41.5688,-96.6751
Leavenworth,Midwest,Kansas,1% below,31%,18%,15%,26%,32%,39.1929,-95.0405
St. Clair,Midwest,Missouri,1% below,31%,20%,17%,34%,32%,38.0293,-93.7825
Taney,Midwest,Missouri,1% below,31%,23%,18%,31%,32%,36.6632,-93.0397
Nuckolls,Midwest,Nebraska,1% below,31%,14%,12%,31%,32%,40.1769,-98.0472
Green,Midwest,Wisconsin,1% below,31%,15%,11%,24%,32%,42.6775,-89.6024
Menard,Midwest,Illinois,1% below,31%,15%,11%,25%,32%,40.027,-89.787
Nemaha,Midwest,Kansas,1% below,31%,15%,13%,28%,32%,39.7853,-96.0142
Jackson,Midwest,Minnesota,1% below,31%,15%,9%,20%,32%,43.6789,-95.1538
Howard,Midwest,Nebraska,1% below,31%,16%,12%,32%,32%,41.2222,-98.5172
O'Brien,Midwest,Iowa,1% below,31%,16%,11%,22%,32%,43.0766,-95.6242
Marion,Midwest,Iowa,1% below,31%,16%,12%,23%,32%,41.3353,-93.0995
Logan,Midwest,Illinois,1% below,31%,17%,15%,25%,32%,40.1187,-89.3736
Mercer,Midwest,North Dakota,1% below,31%,18%,6%,26%,32%,47.2786,-101.7146
Lafayette,Midwest,Missouri,1% below,31%,19%,14%,32%,32%,39.1019,-93.7971
Macon,Midwest,Missouri,1% below,31%,20%,15%,32%,32%,39.8195,-92.5733
Geary,Midwest,Kansas,1% below,31%,20%,18%,26%,32%,39.0482,-96.7322
Washington,Midwest,Nebraska,1% below,31%,14%,11%,22%,32%,41.5376,-96.2688
Jasper,Midwest,Illinois,1% below,31%,15%,11%,24%,32%,39.0124,-88.1545
Washington,Midwest,Iowa,1% below,31%,15%,11%,27%,32%,41.3304,-91.7158
Adair,Midwest,Iowa,1% below,31%,15%,11%,30%,32%,41.3297,-94.4707
Brown,Midwest,Nebraska,1% below,31%,15%,14%,31%,32%,42.4671,-99.9296
Washington,Midwest,Illinois,1% below,31%,15%,11%,27%,32%,38.3664,-89.4248
McPherson,Midwest,Nebraska,1% below,31%,15%,13%,32%,32%,41.5713,-101.0604
Fond du Lac,Midwest,Wisconsin,1% below,31%,15%,11%,24%,32%,43.7377,-88.5229
Wayne,Midwest,Illinois,1% below,31%,17%,13%,28%,32%,38.4333,-88.4237
Gallatin,Midwest,Illinois,1% below,31%,17%,15%,29%,32%,37.7452,-88.2157
Hettinger,Midwest,North Dakota,1% below,31%,17%,7%,30%,32%,46.4177,-102.4867
Pine,Midwest,Minnesota,1% below,31%,19%,12%,26%,32%,46.0796,-92.6745
Milwaukee,Midwest,Wisconsin,1% below,31%,20%,17%,23%,32%,43.0178,-87.9818
Colfax,Midwest,Nebraska,1% below,31%,15%,7%,27%,32%,41.5601,-97.0793
Dallas,Midwest,Iowa,1% below,31%,16%,9%,27%,32%,41.6806,-94.0474
Manitowoc,Midwest,Wisconsin,1% below,31%,16%,11%,22%,32%,44.1103,-87.8415
Green Lake,Midwest,Wisconsin,1% below,31%,16%,12%,23%,32%,43.8078,-89.0268
Rush,Midwest,Kansas,1% below,31%,16%,14%,30%,32%,38.5192,-99.3097
Rice,Midwest,Kansas,1% below,31%,17%,13%,26%,32%,38.3404,-98.2024
Doniphan,Midwest,Kansas,1% below,31%,17%,14%,29%,32%,39.8103,-95.108
Pawnee,Midwest,Kansas,1% below,31%,17%,13%,25%,32%,38.1817,-99.2412
Scott,Midwest,Iowa,1% below,31%,18%,14%,23%,32%,41.6065,-90.62
Platte,Midwest,Missouri,1% below,31%,18%,14%,22%,32%,39.3441,-94.7555
Jefferson,Midwest,Missouri,1% below,31%,21%,14%,31%,32%,38.2529,-90.5695
Hickory,Midwest,Missouri,1% below,31%,21%,18%,31%,32%,37.9393,-93.2909
Vernon,Midwest,Missouri,1% below,31%,22%,16%,27%,32%,37.8515,-94.3425
Cavalier,Midwest,North Dakota,1% below,31%,15%,5%,30%,32%,48.7761,-98.4753
Hodgeman,Midwest,Kansas,1% below,31%,15%,10%,27%,32%,38.1023,-99.8976
Sac,Midwest,Iowa,1% below,31%,15%,11%,26%,32%,42.3887,-95.0899
Steele,Midwest,North Dakota,1% below,31%,15%,5%,29%,32%,47.4605,-97.7296
Scott,Midwest,Kansas,1% below,31%,16%,11%,29%,32%,38.4893,-100.9072
Morgan,Midwest,Illinois,1% below,31%,17%,15%,29%,32%,39.7065,-90.1763
Clinton,Midwest,Iowa,1% below,31%,18%,13%,28%,32%,41.8816,-90.5324
Wilson,Midwest,Kansas,1% below,31%,19%,16%,27%,32%,37.5659,-95.7434
Ramsey,Midwest,North Dakota,1% below,31%,19%,9%,24%,32%,48.2281,-98.7462
Worth,Midwest,Missouri,1% below,31%,19%,14%,30%,32%,40.4778,-94.4318
Holt,Midwest,Missouri,1% below,31%,19%,14%,30%,32%,40.0637,-95.2324
Jackson,Midwest,Illinois,1% below,31%,21%,19%,25%,32%,37.759,-89.4099
Pushmataha,Midwest,Oklahoma,1% below,31%,22%,19%,33%,32%,34.4191,-95.413
Pike,Midwest,Missouri,1% below,31%,22%,16%,30%,32%,39.3683,-91.1708
Garden,Midwest,Nebraska,1% below,31%,15%,11%,30%,32%,41.6187,-102.311
Renville,Midwest,Minnesota,1% below,31%,15%,10%,23%,32%,44.6747,-94.9703
Emmons,Midwest,North Dakota,1% below,31%,16%,9%,37%,32%,46.2896,-100.2458
Marshall,Midwest,South Dakota,1% below,31%,16%,13%,27%,32%,45.7472,-97.6034
Adams,Midwest,Wisconsin,1% below,31%,16%,12%,25%,32%,43.9464,-89.7748
Harding,Midwest,South Dakota,1% below,31%,16%,12%,28%,32%,45.5829,-103.4965
Butler,Midwest,Kansas,1% below,31%,17%,13%,26%,32%,37.787,-96.8395
Union,Midwest,Illinois,1% below,31%,17%,16%,26%,32%,37.4654,-89.2571
Polk,Midwest,Minnesota,1% below,31%,18%,10%,25%,32%,47.8374,-96.6696
Roger Mills,Midwest,Oklahoma,1% below,31%,18%,13%,37%,32%,35.7257,-99.6885
Texas,Midwest,Oklahoma,1% below,31%,18%,10%,29%,32%,36.7482,-101.4928
Atchison,Midwest,Missouri,1% below,31%,18%,14%,34%,32%,40.4232,-95.4182
Hyde,Midwest,South Dakota,1% below,31%,14%,10%,29%,32%,44.538,-99.4821
Putnam,Midwest,Illinois,1% below,31%,14%,14%,25%,32%,41.2193,-89.3147
Miner,Midwest,South Dakota,1% below,31%,15%,11%,27%,32%,44.0156,-97.6104
Harlan,Midwest,Nebraska,1% below,31%,15%,12%,27%,32%,40.18,-99.4045
Valley,Midwest,Nebraska,1% below,31%,15%,13%,26%,32%,41.5667,-98.9817
Kossuth,Midwest,Iowa,1% below,31%,15%,10%,27%,32%,43.2073,-94.2065
Grundy,Midwest,Illinois,1% below,31%,15%,12%,25%,32%,41.2873,-88.4183
Sibley,Midwest,Minnesota,1% below,31%,15%,9%,28%,32%,44.5871,-94.2659
Livingston,Midwest,Illinois,1% below,31%,15%,13%,31%,32%,40.8666,-88.5871
Greeley,Midwest,Kansas,1% below,31%,15%,9%,27%,32%,38.4836,-101.8061
White,Midwest,Illinois,1% below,31%,15%,13%,25%,32%,38.0724,-88.1691
Jefferson,Midwest,Kansas,1% below,31%,16%,12%,23%,32%,39.2278,-95.385
Trempealeau,Midwest,Wisconsin,1% below,31%,16%,10%,24%,32%,44.2856,-91.3478
Scott,Midwest,Illinois,1% below,31%,16%,14%,26%,32%,39.655,-90.4782
Freeborn,Midwest,Minnesota,1% below,31%,16%,9%,27%,32%,43.6801,-93.3489
Cerro Gordo,Midwest,Iowa,1% below,31%,17%,13%,28%,32%,43.0793,-93.2608
Itasca,Midwest,Minnesota,1% below,31%,18%,11%,23%,32%,47.4638,-93.5723
Monroe,Midwest,Missouri,1% below,31%,20%,16%,30%,32%,39.5012,-92.0092
Hutchinson,Midwest,South Dakota,on par with,32%,14%,11%,31%,32%,43.3148,-97.7556
Rock,Midwest,Nebraska,on par with,32%,16%,11%,33%,32%,42.4494,-99.4604
Lincoln,Midwest,Wisconsin,on par with,32%,16%,13%,23%,32%,45.3385,-89.7354
Brown,Midwest,Illinois,on par with,32%,16%,12%,27%,32%,39.973,-90.7126
Sheridan,Midwest,Kansas,on par with,32%,17%,12%,30%,32%,39.3517,-100.4417
Rooks,Midwest,Kansas,on par with,32%,17%,15%,30%,32%,39.3436,-99.3251
Winnebago,Midwest,Illinois,on par with,32%,17%,16%,26%,32%,42.3251,-89.1691
Beadle,Midwest,South Dakota,on par with,32%,17%,13%,26%,32%,44.4159,-98.2773
Clay,Midwest,Illinois,on par with,32%,17%,15%,33%,32%,38.7567,-88.4773
Anderson,Midwest,Kansas,on par with,32%,17%,15%,29%,32%,38.2169,-95.2968
Appanoose,Midwest,Iowa,on par with,32%,17%,14%,34%,32%,40.743,-92.868
Kiowa,Midwest,Kansas,on par with,32%,18%,13%,27%,32%,37.5618,-99.2855
Sherman,Midwest,Kansas,on par with,32%,18%,15%,30%,32%,39.3527,-101.72
Box Butte,Midwest,Nebraska,on par with,32%,18%,15%,28%,32%,42.2162,-103.094
Eddy,Midwest,North Dakota,on par with,32%,19%,9%,29%,32%,47.7184,-98.9114
Gentry,Midwest,Missouri,on par with,32%,20%,15%,29%,32%,40.2114,-94.4104
Gove,Midwest,Kansas,on par with,32%,15%,12%,26%,32%,38.9015,-100.4835
Pottawatomie,Midwest,Kansas,on par with,32%,15%,12%,25%,32%,39.3466,-96.3539
Carroll,Midwest,Illinois,on par with,32%,15%,13%,27%,32%,42.0636,-89.9257
Bremer,Midwest,Iowa,on par with,32%,15%,10%,25%,32%,42.7701,-92.3182
Williamson,Midwest,Illinois,on par with,32%,17%,14%,27%,32%,37.7281,-88.9297
Kimball,Midwest,Nebraska,on par with,32%,17%,13%,30%,32%,41.1986,-103.7148
Monroe,Midwest,Wisconsin,on par with,32%,17%,12%,27%,32%,43.9434,-90.6118
Boone,Midwest,Iowa,on par with,32%,18%,11%,26%,32%,42.037,-93.9317
Lee,Midwest,Iowa,on par with,32%,18%,15%,28%,32%,40.5953,-91.5386
Rusk,Midwest,Wisconsin,on par with,32%,18%,14%,28%,32%,45.4691,-91.1092
Des Moines,Midwest,Iowa,on par with,32%,19%,14%,27%,32%,40.885,-91.1962
Jersey,Midwest,Illinois,on par with,32%,15%,11%,28%,32%,39.094,-90.3706
Pawnee,Midwest,Nebraska,on par with,32%,15%,14%,31%,32%,40.1345,-96.237
Sargent,Midwest,North Dakota,on par with,32%,15%,6%,33%,32%,46.109,-97.6335
Sheridan,Midwest,North Dakota,on par with,32%,16%,8%,33%,32%,47.5812,-100.3531
Jones,Midwest,Iowa,on par with,32%,16%,12%,24%,32%,42.1213,-91.1314
Linn,Midwest,Kansas,on par with,32%,17%,15%,29%,32%,38.2138,-94.8444
Ellis,Midwest,Oklahoma,on par with,32%,19%,13%,37%,32%,36.2174,-99.7981
Douglas,Midwest,Wisconsin,on par with,32%,19%,13%,25%,32%,46.4537,-91.9223
Perry,Midwest,Missouri,on par with,32%,19%,13%,26%,32%,37.7345,-89.8308
Newton,Midwest,Missouri,on par with,32%,21%,14%,28%,32%,36.9,-94.3411
Douglas,Midwest,Missouri,on par with,32%,23%,17%,33%,32%,36.9281,-92.4991
Okfuskee,Midwest,Oklahoma,on par with,32%,26%,20%,28%,32%,35.4649,-96.2645
Webster,Midwest,Nebraska,on par with,32%,15%,13%,33%,32%,40.1769,-98.4998
Winnebago,Midwest,Iowa,on par with,32%,16%,12%,31%,32%,43.3803,-93.7342
Edwards,Midwest,Illinois,on par with,32%,16%,13%,27%,32%,38.4138,-88.0564
Racine,Midwest,Wisconsin,on par with,32%,17%,13%,23%,32%,42.7271,-88.0428
Kenosha,Midwest,Wisconsin,on par with,32%,17%,12%,23%,32%,42.5814,-88.0586
Lucas,Midwest,Iowa,on par with,32%,17%,13%,30%,32%,41.0271,-93.3276
Day,Midwest,South Dakota,on par with,32%,19%,15%,26%,32%,45.3724,-97.6037
Henry,Midwest,Missouri,on par with,32%,21%,16%,30%,32%,38.3849,-93.7916
St. Louis City,Midwest,Missouri,on par with,32%,26%,26%,25%,32%,38.6529,-90.241
Holt,Midwest,Nebraska,on par with,32%,15%,12%,31%,32%,42.4933,-98.7752
Woodford,Midwest,Illinois,on par with,32%,15%,11%,22%,32%,40.7626,-89.2427
Major,Midwest,Oklahoma,on par with,32%,17%,13%,32%,32%,36.3473,-98.5327
Greenwood,Midwest,Kansas,on par with,32%,19%,15%,29%,32%,37.889,-96.2419
Forest,Midwest,Wisconsin,on par with,32%,19%,14%,25%,32%,45.729,-88.8616
Benton,Midwest,Missouri,on par with,32%,20%,16%,32%,32%,38.2997,-93.2977
Schuyler,Midwest,Missouri,on par with,32%,22%,18%,30%,32%,40.4709,-92.5271
Outagamie,Midwest,Wisconsin,on par with,32%,14%,11%,20%,32%,44.419,-88.4637
Stark,Midwest,Illinois,on par with,32%,14%,13%,28%,32%,41.0982,-89.8116
Hamlin,Midwest,South Dakota,on par with,32%,15%,10%,24%,32%,44.6668,-97.1884
Grant,Midwest,South Dakota,on par with,32%,15%,12%,30%,32%,45.1518,-96.7912
Wabaunsee,Midwest,Kansas,on par with,32%,15%,12%,26%,32%,38.975,-96.2241
De Witt,Midwest,Illinois,on par with,32%,15%,13%,26%,32%,40.1762,-88.9037
Logan,Midwest,Kansas,on par with,32%,15%,14%,28%,32%,38.9175,-101.1482
Washington,Midwest,Kansas,on par with,32%,15%,12%,31%,32%,39.7912,-97.0874
Delaware,Midwest,Iowa,on par with,32%,16%,11%,29%,32%,42.471,-91.3709
Pembina,Midwest,North Dakota,on par with,32%,16%,8%,29%,32%,48.7706,-97.5505
Waushara,Midwest,Wisconsin,on par with,32%,17%,11%,27%,32%,44.1173,-89.2418
Harrison,Midwest,Iowa,on par with,32%,17%,11%,28%,32%,41.6861,-95.84
Lawrence,Midwest,Illinois,on par with,32%,17%,14%,26%,32%,38.709,-87.7143
Rogers,Midwest,Oklahoma,on par with,32%,18%,14%,30%,32%,36.3402,-95.6238
Chariton,Midwest,Missouri,on par with,32%,20%,15%,31%,32%,39.4648,-92.9621
Laclede,Midwest,Missouri,on par with,32%,23%,18%,32%,32%,37.6879,-92.5972
Sully,Midwest,South Dakota,on par with,32%,13%,10%,29%,32%,44.7218,-100.1486
Mitchell,Midwest,Kansas,on par with,32%,15%,13%,28%,32%,39.3898,-98.2098
McIntosh,Midwest,North Dakota,on par with,32%,15%,7%,32%,32%,46.1117,-99.4415
Wells,Midwest,North Dakota,on par with,32%,16%,8%,33%,32%,47.5879,-99.6494
York,Midwest,Nebraska,on par with,32%,16%,12%,25%,32%,40.8794,-97.5972
Cass,Midwest,Iowa,on par with,32%,17%,13%,26%,32%,41.335,-94.9277
Saline,Midwest,Illinois,on par with,32%,18%,16%,26%,32%,37.754,-88.5405
Pulaski,Midwest,Illinois,on par with,32%,19%,18%,28%,32%,37.2017,-89.1515
Mellette,Midwest,South Dakota,on par with,32%,28%,18%,30%,32%,43.6213,-100.7295
Osceola,Midwest,Iowa,on par with,32%,16%,11%,30%,32%,43.3805,-95.624
Price,Midwest,Wisconsin,on par with,32%,16%,12%,19%,32%,45.6691,-90.3605
Pike,Midwest,Illinois,on par with,32%,16%,13%,30%,32%,39.6204,-90.9168
Howard,Midwest,Iowa,on par with,32%,17%,12%,29%,32%,43.3561,-92.3172
St. Clair,Midwest,Illinois,on par with,32%,17%,17%,28%,32%,38.439,-89.9328
Van Buren,Midwest,Iowa,on par with,32%,18%,13%,30%,32%,40.7517,-91.9485
Stone,Midwest,Missouri,on par with,32%,20%,16%,28%,32%,36.7415,-93.4417
Greer,Midwest,Oklahoma,on par with,32%,20%,16%,33%,32%,34.922,-99.5146
Polk,Midwest,Missouri,on par with,32%,21%,17%,29%,32%,37.623,-93.3955
Marshall,Midwest,Illinois,on par with,32%,15%,12%,27%,32%,41.0318,-89.3429
Kearney,Midwest,Nebraska,on par with,32%,16%,10%,26%,32%,40.5292,-98.9518
Adams,Midwest,Iowa,on par with,32%,16%,12%,28%,32%,41.0282,-94.6995
Thomas,Midwest,Kansas,on par with,32%,16%,13%,26%,32%,39.3506,-101.056
Kingman,Midwest,Kansas,on par with,32%,17%,14%,30%,32%,37.5652,-98.1363
Eau Claire,Midwest,Wisconsin,on par with,32%,17%,13%,21%,32%,44.7306,-91.286
Madison,Midwest,Nebraska,on par with,32%,18%,12%,25%,32%,41.922,-97.6008
Woods,Midwest,Oklahoma,on par with,32%,19%,15%,37%,32%,36.6966,-98.793
Morton,Midwest,North Dakota,on par with,32%,19%,6%,26%,32%,46.635,-101.1905
Shawnee,Midwest,Kansas,on par with,32%,20%,16%,24%,32%,39.0407,-95.724
Barry,Midwest,Missouri,on par with,32%,21%,15%,31%,32%,36.7224,-93.8227
Knox,Midwest,Missouri,on par with,32%,22%,17%,25%,32%,40.1321,-92.1478
Barton,Midwest,Missouri,on par with,32%,23%,16%,31%,32%,37.502,-94.3471
Henderson,Midwest,Illinois,on par with,32%,15%,12%,28%,32%,40.8522,-90.9209
Pepin,Midwest,Wisconsin,on par with,32%,15%,11%,26%,32%,44.5458,-92.0873
Clay,Midwest,Nebraska,on par with,32%,15%,11%,28%,32%,40.5251,-98.0513
Shelby,Midwest,Illinois,on par with,32%,15%,13%,31%,32%,39.4274,-88.7479
Harvey,Midwest,Kansas,on par with,32%,16%,13%,27%,32%,38.0434,-97.4275
Fulton,Midwest,Illinois,on par with,32%,16%,14%,29%,32%,40.4504,-90.1768
Grant,Midwest,North Dakota,on par with,32%,17%,8%,32%,32%,46.3641,-101.548
Ransom,Midwest,North Dakota,on par with,32%,18%,7%,30%,32%,46.4568,-97.6572
Logan,Midwest,Oklahoma,on par with,32%,18%,15%,30%,32%,35.945,-97.4398
Putnam,Midwest,Missouri,on par with,32%,20%,16%,35%,32%,40.4661,-93.0345
Howell,Midwest,Missouri,on par with,32%,21%,17%,30%,32%,36.7824,-91.8936
Carter,Midwest,Oklahoma,on par with,32%,22%,16%,32%,32%,34.2927,-97.248
Alexander,Midwest,Illinois,on par with,32%,24%,22%,30%,32%,37.1528,-89.3477
Lane,Midwest,Kansas,1% above,33%,15%,11%,26%,32%,38.4745,-100.4666
Campbell,Midwest,South Dakota,1% above,33%,15%,12%,30%,32%,45.7701,-100.034
Rawlins,Midwest,Kansas,1% above,33%,16%,13%,32%,32%,39.7927,-101.0755
Edwards,Midwest,Kansas,1% above,33%,16%,11%,29%,32%,37.9097,-99.2959
Crawford,Midwest,Iowa,1% above,33%,17%,9%,31%,32%,42.0372,-95.3818
Pierce,Midwest,North Dakota,1% above,33%,17%,9%,28%,32%,48.2004,-100.0425
Ellsworth,Midwest,Kansas,1% above,33%,17%,12%,33%,32%,38.6895,-98.2026
Saline,Midwest,Kansas,1% above,33%,18%,15%,26%,32%,38.7896,-97.6502
Ford,Midwest,Kansas,1% above,33%,19%,8%,31%,32%,37.6805,-99.8868
Jackson,Midwest,Wisconsin,1% above,33%,19%,13%,23%,32%,44.3311,-90.7417
Carter,Midwest,Missouri,1% above,33%,24%,17%,31%,32%,36.9581,-90.9582
Martin,Midwest,Minnesota,1% above,33%,15%,10%,29%,32%,43.6862,-94.5511
Wallace,Midwest,Kansas,1% above,33%,15%,11%,26%,32%,38.9078,-101.7635
Hancock,Midwest,Iowa,1% above,33%,15%,11%,26%,32%,43.0894,-93.7341
Wabash,Midwest,Illinois,1% above,33%,16%,12%,28%,32%,38.4039,-87.8596
Iroquois,Midwest,Illinois,1% above,33%,16%,13%,28%,32%,40.7483,-87.8255
Furnas,Midwest,Nebraska,1% above,33%,16%,14%,28%,32%,40.193,-99.9124
Miami,Midwest,Kansas,1% above,33%,16%,13%,26%,32%,38.5598,-94.8386
Jackson,Midwest,Iowa,1% above,33%,17%,12%,27%,32%,42.2091,-90.6306
Edgar,Midwest,Illinois,1% above,33%,17%,15%,24%,32%,39.6827,-87.7497
Gregory,Midwest,South Dakota,1% above,33%,17%,13%,30%,32%,43.2494,-99.2429
Monroe,Midwest,Iowa,1% above,33%,17%,13%,32%,32%,41.0265,-92.8691
Tama,Midwest,Iowa,1% above,33%,18%,12%,33%,32%,42.0847,-92.533
Osage,Midwest,Missouri,1% above,33%,18%,12%,26%,32%,38.4977,-91.8255
Chautauqua,Midwest,Kansas,1% above,33%,18%,15%,36%,32%,37.1503,-96.2448
Lyman,Midwest,South Dakota,1% above,33%,22%,14%,24%,32%,43.8596,-99.8372
Pittsburg,Midwest,Oklahoma,1% above,33%,22%,17%,36%,32%,34.9475,-95.7985
Randolph,Midwest,Missouri,1% above,33%,23%,17%,27%,32%,39.4287,-92.5051
Jasper,Midwest,Missouri,1% above,33%,24%,16%,27%,32%,37.2065,-94.3365
Deuel,Midwest,South Dakota,1% above,33%,14%,9%,30%,32%,44.7615,-96.668
Butler,Midwest,Iowa,1% above,33%,15%,11%,29%,32%,42.7342,-92.7904
Marinette,Midwest,Wisconsin,1% above,33%,16%,13%,24%,32%,45.382,-88.1503
Richland,Midwest,North Dakota,1% above,33%,17%,8%,26%,32%,46.2843,-96.9388
Redwood,Midwest,Minnesota,1% above,33%,17%,10%,24%,32%,44.4497,-95.2299
Smith,Midwest,Kansas,1% above,33%,17%,13%,27%,32%,39.7851,-98.7853
Hardin,Midwest,Illinois,1% above,33%,18%,17%,29%,32%,37.5013,-88.2378
Burt,Midwest,Nebraska,1% above,33%,18%,13%,35%,32%,41.8649,-96.3464
Cape Girardeau,Midwest,Missouri,1% above,33%,20%,16%,30%,32%,37.3671,-89.644
Montgomery,Midwest,Missouri,1% above,33%,21%,16%,30%,32%,38.9155,-91.4522
Reynolds,Midwest,Missouri,1% above,33%,22%,18%,35%,32%,37.3418,-90.9633
Dallas,Midwest,Missouri,1% above,33%,23%,16%,29%,32%,37.6614,-93.012
Dunklin,Midwest,Missouri,1% above,33%,24%,20%,33%,32%,36.3139,-90.0156
Turner,Midwest,South Dakota,1% above,33%,14%,10%,34%,32%,43.2823,-97.1623
Stanley,Midwest,South Dakota,1% above,33%,15%,10%,27%,32%,44.4757,-100.8679
Boyd,Midwest,Nebraska,1% above,33%,15%,12%,30%,32%,42.8802,-98.6249
Dickinson,Midwest,Iowa,1% above,33%,15%,12%,25%,32%,43.3759,-95.1509
Buffalo,Midwest,Wisconsin,1% above,33%,15%,11%,26%,32%,44.3147,-91.722
Hardin,Midwest,Iowa,1% above,33%,15%,12%,28%,32%,42.376,-93.2326
Lafayette,Midwest,Wisconsin,1% above,33%,16%,10%,18%,32%,42.6602,-90.1317
Cedar,Midwest,Iowa,1% above,33%,16%,11%,32%,32%,41.7722,-91.1322
Richland,Midwest,Wisconsin,1% above,33%,16%,11%,19%,32%,43.3664,-90.4289
Barnes,Midwest,North Dakota,1% above,33%,16%,7%,25%,32%,46.9407,-98.0604
Bon Homme,Midwest,South Dakota,1% above,33%,17%,12%,27%,32%,42.9662,-97.8652
Page,Midwest,Iowa,1% above,33%,17%,13%,28%,32%,40.7362,-95.1569
Cloud,Midwest,Kansas,1% above,33%,18%,14%,29%,32%,39.469,-97.6492
Neosho,Midwest,Kansas,1% above,33%,19%,16%,29%,32%,37.5657,-95.3067
Gasconade,Midwest,Missouri,1% above,33%,19%,15%,33%,32%,38.4294,-91.5057
Stephens,Midwest,Oklahoma,1% above,33%,20%,15%,35%,32%,34.4846,-97.8509
Shelby,Midwest,Missouri,1% above,33%,21%,16%,28%,32%,39.7834,-92.0688
Ottawa,Midwest,Oklahoma,1% above,33%,23%,18%,34%,32%,36.8405,-94.8089
Monroe,Midwest,Illinois,1% above,33%,13%,10%,27%,32%,38.3052,-90.1415
